#
# KWIC Concordance.
# Format: tab-separated, UTF-8. Corpus engine: Corpuscle, Clarino K Centre, Bergen
#
# Corpus:         (GRC)
# Query:          [slemma = "/*სმა"] | [slemma = "დალევა"] 
# Matches:        15619
# Excluded:       0
# Execution time: 0.044074 sec. (0.033375 CPU sec.)
#
# match	slemma	lemma	features	
#
დაილივნენ	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S> <S:Nom> S:3Pl
დაილევა	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Fut Pv <S> <S:Nom> S:3Sg
დავილევით	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Fut Pv <S> <S:Nom> S:1Pl
დდალიეთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Impv Pv <S-DO> <S:Erg> <DO:Nom> S:2Pl DO:3 LevGuess ¦ V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:2Pl DO:3 LevGuess
დალიეს	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Pl DO:3
დალიეს	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:3Pl DO:3
დავლიოთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Pl DO:3
დავლიოთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Pl DO:3
დავლიო	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Sg DO:3
დალიე	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Impv Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3 ¦ V Act Aor Pv <S-DO> <S:Erg> <DO:Nom> S:2Sg DO:3
დავლიოთ	დალევა	და-ლევ[ა]/ლ[ევ]	V Act Opt Pv <S-DO> <S:Erg> <DO:Nom> S:1Pl DO:3
დალევა	დალევა	და-ლევ[ა]/ლ	N VN Pv Nom Sg
დაილია	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S> <S:Nom> S:3Sg ¦ V Act Aor Pv SV <S-DO> <S:Erg> <DO:Nom> S:3Sg DO:3
დაგელია	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S-IO> <S:Nom> <IO:Dat> S:3Sg IO:2Sg
დაილივნენ	დალევა	და-ლევ[ა]/ლ[ევ]	V Pass Aor Pv <S> <S:Nom> S:3Pl
